domain,subcategory,resource_name,url,source_type,reference_role,coverage,license_or_access,status,usage_notes,copying_constraints,verified_date
business-market,business-report-notation,ISO 24896 - Notation for business reporting,https://www.iso.org/standard/88366.html,L1 normative-baseline,final compliance baseline,"Edition 1; 2026-06; semantic notation for business reports, presentations and dashboards",paid ISO standard metadata page; under publication at verification time,verified-metadata,"Use as final baseline for business-report notation once published; status was Stage 60.00 under publication on verification date.","Do not copy ISO text or figures without licensed access; screenshots require authorized PDF plus page/figure metadata.",2026-06-02
business-market,business-report-notation,IBCS Standards,https://www.ibcs.com/IBCS/,L2 official-guidance,design rules and examples,"SUCCESS rules; chart layout, labels, scenarios, variances and business reporting notation",web guidance; membership/license terms to verify,license-pending,"Use to derive business chart rules under ISO 24896 direction; cannot override ISO 24896 formal definitions.","Do not bulk-copy standards pages or images until IBCS license/terms are confirmed.",2026-06-02
business-market,business-report-templates,IBCS Templates,https://www.ibcs.com/resource/templates/,L2 official-guidance,template reference,"business-report templates and notation examples",web guidance; access terms to verify,license-pending,"Candidate source for report layout references and template structure.","Only link or manually inspect until download/copy terms are confirmed.",2026-06-02
business-market,business-report-examples,IBCS Examples,https://www.ibcs.com/resource/examples/,L2 official-guidance,example reference,"business chart and reporting examples",web guidance; access terms to verify,license-pending,"Candidate source for business chart example pages; record specific case page before screenshot.","Do not copy example images until license and attribution requirements are checked.",2026-06-02
business-market,business-report-work-samples,IBCS Consultant Work Samples,https://www.ibcs.com/consultants/,L2 official-guidance,professional work sample discovery,"consultant examples and work samples related to IBCS notation",web page; mixed consultant-owned content,license-pending,"Use only to discover professional examples; evaluate each consultant sample separately.","No copying without explicit page-level permission and attribution.",2026-06-02
business-market,data-visualization-best-practice,Royal Statistical Society - Best Practices for Data Visualisation,https://royal-statistical-society.github.io/datavisguide/,L2 official-guidance,design-rule source,"RSS data visualisation guide; web guide plus PDF download; charts, accessibility, uncertainty and publishing guidance",copyright 2024 RSS/authors; public web/PDF,reference-only,"Good source for statistical chart design rules in papers and reports; use citations and paraphrase rules.","Do not bulk-copy PDF figures; if screenshotting, record PDF page/figure/title and confirm permission.",2026-06-02
business-market,organization-style-guide,Urban Institute Data Visualization Style Guide,https://urbaninstitute.github.io/graphics-styleguide/,L2 official-guidance,style-guide example,"Urban chart styling, graph templates and publishing guidance",code GPLv3 per GitHub; content copyright/terms require page check,license-pending,"Good institutional style guide example; use for style-guide structure and accessible chart conventions.","Do not copy chart images until content license is confirmed; code assets follow GPLv3 if reused.",2026-06-02
business-market,chart-type-catalogue,The Data Visualisation Catalogue,https://datavizcatalogue.com/,L3 case-gallery,chart-type and few-shot reference,"chart type catalogue with individual case pages for bar, line, box plot, Sankey, heatmap, etc.",website copyright/terms not verified,license-pending,"Use specific chart pages for case discovery and chart selection; not a standard source.","Record case page URL, not homepage; do not copy icons/images until license terms are verified.",2026-06-02
business-market,chart-selection,Financial Times Visual Vocabulary,https://github.com/Financial-Times/chart-doctor/tree/main/visual-vocabulary,L3 case-gallery,chart-selection taxonomy,"chart chooser and visual vocabulary for change, ranking, distribution, relationship and composition",GitHub license to verify before reuse,license-pending,"Useful for few-shot market/competitor chart selection examples.","Verify repository LICENSE before copying images or templates.",2026-06-02
business-market,style-guide-index,PolicyViz Style Guides,https://policyviz.com/2016/11/30/style-guides/,L4 discovery-index,resource discovery,"curated list of data visualization style guides and related resources",blog/index; mixed third-party links,verified-index,"Use only to discover candidate L2/L3 resources.","Do not copy linked resources from index without checking original source license.",2026-06-02
business-market,style-guide-index,Data Visualization Style Guidelines,https://www.datavizstyleguide.com/,L4 discovery-index,resource discovery,"index and checklist for data visualization style guide examples, tools and articles",web index; terms not verified,verified-index,"Use to discover style guide examples and checklists.","Do not copy gallery images or Google Sheet examples until original source license is checked.",2026-06-02
software-engineering,uml,OMG UML 2.5.1,https://www.omg.org/spec/UML,L1 normative-baseline,final compliance baseline,"official UML specification; use UML/2.5.1/PDF for use case, class, activity, state, sequence, component and deployment notation",OMG specification page and PDF; use terms to verify,verified-metadata,"Final authority for UML notation; L2/L3 examples cannot override it.","Screenshots require official PDF, version, chapter, page, figure number and figure title.",2026-06-02
software-engineering,bpmn,OMG BPMN 2.0,https://www.omg.org/spec/BPMN/2.0/,L1 normative-baseline,final compliance baseline,"official BPMN 2.0 specification and non-normative example documents",OMG specification page and PDF; use terms to verify,verified-metadata,"Final authority for BPMN notation; Camunda examples are learning references only.","Screenshots require official PDF, version, chapter, page, figure number and figure title.",2026-06-02
software-engineering,flowchart-dfd,ISO 5807:1985,https://www.iso.org/standard/11955.html,L1 normative-baseline,final compliance baseline,"documentation symbols and conventions for data, program and system flowcharts",paid ISO standard metadata page,verified-metadata,"Use as final baseline for flowchart/DFD symbols where applicable.","Do not copy ISO text or figures without licensed access; screenshots require authorized PDF plus page/figure metadata.",2026-06-02
software-engineering,software-design-description,IEEE 1016-2009,https://standards.ieee.org/ieee/1016/4502,L1 normative-baseline,final compliance baseline,"software design description viewpoints and design documentation standard",paid IEEE standard metadata page,verified-metadata,"Use for design-description structure and viewpoint compliance, not as full UML notation source.","Do not copy IEEE text or figures without licensed access; screenshots require authorized PDF plus page/figure metadata.",2026-06-02
software-engineering,requirements-specification,GB/T 9385-2008,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=2790825C43AD0B69E3C38C140BFFCFE6,L1 normative-baseline,final compliance baseline,"Chinese software requirements specification standard metadata",official national standard metadata page,verified-metadata,"Use for SRS structure and requirements specification compliance.","Only copy metadata allowed by official site; full text/figures require authorized source and page/figure metadata.",2026-06-02
software-engineering,software-documentation,GB/T 8567-2006,https://openstd.samr.gov.cn/,L1 normative-baseline,final compliance baseline,"Chinese software documentation standard; verify exact standard page before screenshot",official standard catalogue to search exact record,page-figure-pending,"Use for software lifecycle document structure; exact URL should be resolved before final registry lock.","Do not cite generic homepage as figure source; screenshots require exact standard record and authorized PDF.",2026-06-02
software-engineering,diagram-as-code,PlantUML Official Documentation,https://plantuml.com/,L2 official-guidance,tool syntax and rendering guidance,"official docs for UML, ERD, activity, sequence, state, deployment and other PlantUML diagram syntax",GPL tool; generated images owned by source author per PlantUML license text,verified-license,"Use as official tool guidance; not a UML standard baseline.","Do not copy official documentation images wholesale; project-generated diagrams may be used according to source ownership.",2026-06-02
software-engineering,bpmn-learning,Camunda BPMN Reference,https://www.camunda.com/bpmn/reference/,L3 case-gallery,symbol reference and examples,"BPMN symbols explained with examples; pools, lanes, tasks, gateways, events and artifacts",Camunda web content terms to verify,license-pending,"Use as learning and few-shot source after checking against OMG BPMN 2.0.","Record specific section/case URL; do not copy diagrams until Camunda terms permit.",2026-06-02
software-engineering,bpmn-learning,Camunda BPMN Examples,https://www.camunda.com/bpmn/examples/,L3 case-gallery,good/bad examples and modeling style,"real-world BPMN 2.0 examples, naming conventions, crossing-flow examples, symmetric modeling and task sizing",Camunda web content terms to verify,license-pending,"Useful for layout examples and common BPMN modeling pitfalls; not a formal standard.","Record exact example section; do not copy diagrams until terms/attribution are checked.",2026-06-02
software-engineering,uml-gallery,Visual Paradigm UML Gallery,https://www.visual-paradigm.com/VPGallery/diagrams/index.html,L3 case-gallery,UML example gallery,"UML use case, class, state machine, sequence, collaboration, activity, component, deployment and related examples",commercial site content; license to verify,license-pending,"Use for visual few-shot examples only after validating notation against OMG UML.","Record individual diagram page; do not copy images unless Visual Paradigm terms allow.",2026-06-02
software-engineering,plantuml-gallery,Real World PlantUML,https://real-world-plantuml.com/?type=usecase,L3 case-gallery,real-world PlantUML discovery,"repository-derived PlantUML examples by diagram type",aggregated examples; original repo licenses vary,license-pending,"Use only to discover original repositories and examples; verify each original repo LICENSE.","Do not copy generated images or source from aggregator without original repo license.",2026-06-02
software-engineering,plantuml-examples,Joel Parker Henderson PlantUML Examples,https://github.com/joelparkerhenderson/plantuml-examples,L3 case-gallery,PlantUML source examples,"PlantUML examples for UML, ERD, wireframes, mind maps, JSON, YAML, WBS, Gantt, C4 and more",GitHub LICENSE.md present; exact license text pending verification,license-pending,"Good few-shot PlantUML source library after LICENSE check.","Do not copy source or rendered images until LICENSE.md is read and recorded.",2026-06-02
software-engineering,c4-architecture,C4-PlantUML,https://github.com/plantuml-stdlib/C4-PlantUML,L3 case-gallery,C4 architecture examples and templates,"PlantUML standard library for C4 model diagrams",GitHub license pending verification,license-pending,"Useful for C4 context/container/component diagrams; C4 is not UML/ISO compliance baseline.","Verify LICENSE before copying macros/examples; generated project diagrams must be labeled project-specific.",2026-06-02
data-ai,algorithm-flowchart,ISO 5807:1985 for algorithm and data flowcharts,https://www.iso.org/standard/11955.html,L1 normative-baseline,final compliance baseline,"flowchart symbols applicable to algorithm and data-processing workflows",paid ISO standard metadata page,verified-metadata,"Use as formal baseline for algorithm flowchart symbols where relevant.","Do not copy ISO figures without licensed access; screenshots require authorized PDF plus page/figure metadata.",2026-06-02
data-ai,data-mining-process,CRISP-DM 1.0 Step-by-step data mining guide,https://www.dataprix.com/files/CRISP-DM.pdf,L3 case-gallery,methodology process example,"CRISP-DM phases and step-by-step data mining process guide; PDF page/figure must be verified before screenshot",public web PDF; provenance/license to verify,page-figure-pending,"Use as classic industry process reference for data mining workflows; not a formal ISO/GB standard.","Before screenshot, record exact PDF page, figure number and figure title; verify redistribution rights.",2026-06-02
data-ai,data-mining-process,CRISP-DM Process Diagram - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:CRISP-DM_Process_Diagram.png,L3 case-gallery,open case figure,"CRISP-DM process diagram image page",CC-BY-SA-3.0 per Wikimedia page,copy-allowed-with-attribution,"Can be copied if CC-BY-SA attribution and share-alike terms are followed.","Must preserve attribution, license notice and share-alike obligations.",2026-06-02
data-ai,neural-network-guidance,Evidence-based guidance framework for neural network system diagrams,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0318800,L2 official-guidance,academic design-rule source,"open-access PLOS ONE article on neural network system diagram guidance and examples",PLOS open-access license to confirm on article page,license-pending,"Use to derive neural-network diagram quality rules; academic guidance, not formal standard.","If copying figures, record article figure number/title and confirm PLOS license/attribution.",2026-06-02
data-ai,neural-network-tool,NN-SVG Online Generator,https://alexlenail.me/NN-SVG/,L3 case-gallery,tool and template reference,"publication-ready neural network architecture schematics; FCNN, LeNet and AlexNet styles",MIT license verified via GitHub LICENSE,copy-allowed-with-attribution,"Use as allowed tooling/case source for NN architecture diagrams.","Include MIT copyright notice if copying substantial code/assets; label generated project diagrams as generated.",2026-06-02
data-ai,neural-network-tool,NN-SVG GitHub,https://github.com/alexlenail/NN-SVG,L3 case-gallery,source code and examples,"source repository for NN-SVG",MIT license verified via raw LICENSE,copy-allowed-with-attribution,"Can reuse code/assets under MIT terms.","Include MIT copyright/license notice with copied code or substantial assets.",2026-06-02
data-ai,neural-network-gallery,Kenneth Leung Neural Network Architecture Diagrams,https://github.com/kennethleungty/Neural-Network-Architecture-Diagrams,L3 case-gallery,architecture diagram examples,"draw.io, SVG and JPG examples for CNN, U-Net, autoencoder and other neural network architectures",GitHub LICENSE present; exact license text pending verification,license-pending,"Useful few-shot source for neural architecture diagrams after license check.","Do not copy diagrams until LICENSE file is read and recorded.",2026-06-02
data-ai,neural-network-tool,PlotNeuralNet,https://github.com/HarisIqbal88/PlotNeuralNet,L3 case-gallery,LaTeX/TikZ tool examples,"LaTeX and Python interface for publication-quality neural network architecture diagrams",GitHub license pending verification,license-pending,"Useful for generating project-specific neural network diagrams later; not a standard.","Verify repository LICENSE before copying code or examples.",2026-06-02
ui-design,visual-information,ISO 9241-125:2017,https://www.iso.org/standard/64839.html,L1 normative-baseline,final compliance baseline,"ergonomics of human-system interaction; guidance on visual presentation of information",paid ISO standard metadata page,verified-metadata,"Use as final baseline for high-level visual information presentation in UI/report screens.","Do not copy ISO text or figures without licensed access; screenshots require authorized PDF plus page/figure metadata.",2026-06-02
ui-design,design-system-components,Figma Components Styles and Shared Libraries,https://www.figma.com/best-practices/components-styles-and-shared-libraries/,L2 official-guidance,tool and component guidance,"Figma components, styles, device mockups, libraries, variants, states and component organization",Figma web guidance; terms to verify for copying images,reference-only,"Use as official Figma workflow guidance for UI screenshot containers and component libraries.","Do not copy Figma article images into repo unless terms allow; use project-created Figma components for final UI screenshots.",2026-06-02
ui-design,design-system-components,Figma Component Architecture,https://www.figma.com/best-practices/component-architecture/,L2 official-guidance,component architecture guidance,"component modularity, reusable instances and library practices",Figma web guidance; terms to verify,reference-only,"Use for structuring UI screenshot frames and reusable device/container components.","Do not copy article images unless terms permit; create project-specific components.",2026-06-02
ui-design,material-design,Material Design 3,https://m3.material.io/,L2 official-guidance,design-system rules,"Google Material Design official site for components, layout, tokens and interaction guidance",Google web guidance; terms to verify,reference-only,"Use if project UI adopts Material-like component rules.","Do not copy images/components blindly; follow official terms and cite page-level guidance.",2026-06-02
ui-design,fluent-design,Microsoft Fluent 2,https://fluent2.microsoft.design/,L2 official-guidance,design-system rules,"Microsoft Fluent 2 design system; platform components and Figma UI kit links",Microsoft web guidance; terms to verify,reference-only,"Use for enterprise/admin/data-center UI tone and components.","Do not copy images/components without Microsoft terms and asset license review.",2026-06-02
ui-design,design-system-index,Adele by UXPin,https://adele.uxpin.com/,L4 discovery-index,design-system discovery,"repository of publicly available design systems and pattern libraries with component/foundation metadata",UXPin web index; mixed third-party resources,verified-index,"Use only to discover design systems and component libraries.","Do not treat Adele as design standard; check each discovered system's official site/license.",2026-06-02
ui-design,style-guide-index,Styleguides.io,https://styleguides.io/,L4 discovery-index,style-guide discovery,"curated website style guide resources and design system methodology links",web index; mixed links,verified-index,"Use only to discover style guides and design-system resources.","Do not copy linked resources without original license review.",2026-06-02
ui-design,design-system-index,Design Systems Repo,https://designsystemsrepo.ai/,L4 discovery-index,design-system discovery,"curated design-system resources and examples",web index; mixed links,verified-index,"Use only to discover candidate UI/design-system resources.","Do not treat as official guidance; verify original source and license.",2026-06-02
